Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Pack_Name,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Wild_Ung_Avail_n,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,February 2007-March 2008,,,0.237,,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,106,12,11.3,,16.3,,,Wild,,,,,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,February 2007-March 2008,,,0.07,,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,106,4,3.8,,5.7,,,Wild,,,,,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,February 2007-March 2008,,,0.029,,98.5,Calculated from literature data ,240,,,106,1,0.9,,1.4,,,Wild,,,,,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,Sept 2008-Aug 2009,,,0.575,,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,35,12,34.3,,86.4,,,Wild,,,"Spring is the peak season of births. Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. ",,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,Sept 2008-Aug 2009,,,0.365,,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,35,2,5.7,,13.6,,,Wild,,,,,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,Sept 2008-Aug 2009,,,0.031,,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,35,0,0,,0,,,Wild,,,,,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,Sept 2008-Aug 2009,,,0.029,,98.5,Calculated from literature data ,240,,,35,0,0,,0,,,Wild,,,,,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,April 2010-April 2011,,,0.623,,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,61,16,26.2,,30.3,,,Wild,,,"Spring is the peak season of births. Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. ",,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,April 2010-April 2011,,,0.251,,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,61,30,49.2,,65.3,,,Wild,,,,,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,April 2010-April 2011,,,0.063,,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,61,0,0,,0,,,Wild,,,,,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,April 2010-April 2011,,,0.063,,98.5,Calculated from literature data ,240,,,61,2,3.3,,4.4,,,Wild,,,,,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Wild boar,Sus scrofa,Sus scrofa,Aug 2011-Aug 2012,,,0.452,,59.4,"Calculated from local data of shot individuals (592 males, 477 females; 315 juveniles, 214 sub-adults, 487 adults)",84.5,,,156,70,44.6,,58.1,,,Wild,,,"Spring is the peak season of births, but births occur year round. Subadults are forced to leave the matriarchical groups when new births occur (subadults more vulnerable due to lack of experience). Hunting season is in autumn/winter, wolves may be using wounded and not retrieved animals. High wildboar capture rate in winter may be related to snow. Live in large groups, easily detectable. ",,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
Widely dispersed in area,Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Roe deer,Capreolus capreolus,Capreolus capreolus,Aug 2011-Aug 2012,,,0.374,,20.7,"Calculated from local data of shot individuals (66 males, 66 females; 24 juveniles, 25 sub-adults, 78 adults)",22.4,,,156,22,14.3,,12.9,,,Wild,,,"""Easy to catch and kill once identified"" but difficult to track since they are solitary and territorial, especially in forested habitats. Roe deer predation rate dependent on encounter rate",,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Fallow deer,Dama dama,Dama dama,Aug 2011-Aug 2012,,,0.122,,56.5,"Calculated from local data of shot individuals ( 27 males, 16 females, 3 juveniles, 15 sub-adults, 24 adults)",56.2,,,156,5,3,,0.4,,,Wild,,,"""Fallow deer and red deer have low densities, and populations are concentrated only in specific areas, but their gregarious behaviour brings wolves to exercise a targeted hunt, whose success may be independent of the encounter rate""",,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
"Concentrated in a few area, escaped from captive pens and exapanding their area",Meriggi 2015,Emilia Romagna and Lombardy Regions,927.3,Red deer,Cervus elaphus,Cervus elaphus,Aug 2011-Aug 2012,,,0.052,,98.5,Calculated from literature data ,240,,,156,32,20.2,,24.9,,,Wild,,,"""Fallow deer and red deer have low densities, and populations are concentrated only in specific areas, but their gregarious behaviour brings wolves to exercise a targeted hunt, whose success may be independent of the encounter rate""",,,,B,TS,SYR,1,T+ GRID,SYR,1,MEI15ERL,ERL,4,,UK,UK,UK,POP
,Mysłajek 2022,Roztocze and Solska Forest,1300,Red deer,Cervus elaphus,Cervus elaphus,2017-2020,,,0.288,,,,240,,,302,41,13.6,,,52.0884,0.159,Wild,,,,,,,P-3-3,MIX,U,3,TRL,MYR,3,MYK22RAS,RAS,5,,2,0,2,POP
,Mysłajek 2022,Roztocze and Solska Forest,1300,Roe deer,Capreolus capreolus,Capreolus capreolus,2017-2020,,,0.527,,,,22.4,,,302,131,43.4,,,161.1792,0.492,Wild,,,,,,,P-3-3,MIX,U,3,TRL,MYR,3,MYK22RAS,RAS,5,,2,0,2,POP
,Mysłajek 2022,Roztocze and Solska Forest,1300,Fallow deer,Dama dama,Dama dama,2017-2020,,,0.008,,,,56.2,,,302,9,3,,,9.5004,0.029,Wild,,,Non-native prey species introduced for recreational hunting,,,,P-3-3,MIX,U,3,TRL,MYR,3,MYK22RAS,RAS,5,,2,0,2,POP
,Mysłajek 2022,Roztocze and Solska Forest,1300,Moose,Alces alces,Alces alces,2017-2020,,,0.075,,,,481,,,302,2,0.7,,,0.9828,0.003,Wild,,,,,,,P-3-3,MIX,U,3,TRL,MYR,3,MYK22RAS,RAS,5,,2,0,2,POP
,Mysłajek 2022,Roztocze and Solska Forest,1300,Wild boar,Sus scrofa,Sus scrofa,2017-2020,,,0.101,,,,84.5,,,302,104,34.4,,,85.5036,0.261,Wild,,,"Sociable, conspicuous, locally abundant, redily detectable to a predator. Piglets easy to capture. African swine disease outbreak at the time caused high mortality of wildboar so the disease may have weakened them and made them easier to kill and also provided lots of carcasses for scavenging.",,,,P-3-3,MIX,U,3,TRL,MYR,3,MYK22RAS,RAS,5,,2,0,2,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Bydgoszcz Forest,640,Roe deer,Capreolus capreolus,Capreolus capreolus,Unclear (2002-2009 is not possible for all areas because some didn't have wolf presence until after 2002),,,0.596,,,,22.4,,,81,26,32.1,40.9,,,0.296,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11BYD,BYD,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Bydgoszcz Forest,640,Red deer,Cervus elaphus,Cervus elaphus,Unclear (2002-2009 is not possible for all areas because some didn't have wolf presence until after 2002),,,0.259,,,,240,,,81,13,16,20.6,,,0.182,Wild,,,hunting red deer can be risky or requires high energy expenditures,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11BYD,BYD,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Bydgoszcz Forest,640,Fallow deer,Dama dama,Dama dama,Unclear (2002-2009 is not possible for all areas because some didn't have wolf presence until after 2002),,,0.001,,,,56.2,,,81,1,1.2,1.7,,,0.002,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11BYD,BYD,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Bydgoszcz Forest,640,Wild boar,Sus scrofa,Sus scrofa,Unclear (2002-2009 is not possible for all areas because some didn't have wolf presence until after 2002),,,0.145,,,,84.5,,,81,31,38.3,36.8,,,0.357,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11BYD,BYD,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Wałcz Forest,1000,Roe deer,Capreolus capreolus,Capreolus capreolus,Unclear if they were the average of multiple years or a just a single year,,,0.575,,,,22.4,,,112,45,40.2,50,,,0.429,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11WLF,WLF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Wałcz Forest,1000,Red deer,Cervus elaphus,Cervus elaphus,Unclear if they were the average of multiple years or a just a single year,,,0.219,,,,240,,,112,24,21.4,26.4,,,0.249,Wild,,,hunting red deer can be risky or requires high energy expenditures,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11WLF,WLF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Wałcz Forest,1000,Fallow deer,Dama dama,Dama dama,Unclear if they were the average of multiple years or a just a single year,,,0.016,,,,56.2,,,112,0,0,0,,,0,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11WLF,WLF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Wałcz Forest,1000,Wild boar,Sus scrofa,Sus scrofa,Unclear if they were the average of multiple years or a just a single year,,,0.191,,,,84.5,,,112,26,23.2,23.6,,,0.162,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11WLF,WLF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Rzepin Forest,950,Roe deer,Capreolus capreolus,Capreolus capreolus,Unclear if they were the average of multiple years or a just a single year,,,0.528,,,,22.4,,,126,34,27,28.1,,,0.331,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11RZF,RZF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Rzepin Forest,950,Red deer,Cervus elaphus,Cervus elaphus,Unclear if they were the average of multiple years or a just a single year,,,0.176,,,,240,,,126,27,21.4,22.7,,,0.267,Wild,,,hunting red deer can be risky or requires high energy expenditures,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11RZF,RZF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Rzepin Forest,950,Fallow deer,Dama dama,Dama dama,Unclear if they were the average of multiple years or a just a single year,,,0.016,,,,56.2,,,126,9,7.1,7.4,,,0.07,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11RZF,RZF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Rzepin Forest,950,Wild boar,Sus scrofa,Sus scrofa,Unclear if they were the average of multiple years or a just a single year,,,0.28,,,,84.5,,,126,59,46.8,42.1,,,0.268,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11RZF,RZF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Lower Silesian Forest,1700,Roe deer,Capreolus capreolus,Capreolus capreolus,Unclear if they were the average of multiple years or a just a single year,,,0.547,,,,22.4,,,124,75,60.5,57.7,,,0.576,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11LSF,LSF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Lower Silesian Forest,1700,Red deer,Cervus elaphus,Cervus elaphus,Unclear if they were the average of multiple years or a just a single year,,,0.242,,,,240,,,124,23,18.5,17.5,,,0.178,Wild,,,hunting red deer can be risky or requires high energy expenditures,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11LSF,LSF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Lower Silesian Forest,1700,Fallow deer,Dama dama,Dama dama,Unclear if they were the average of multiple years or a just a single year,,,0.008,,,,56.2,,,124,3,2.4,2.2,,,0.02,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11LSF,LSF,4,,1,0,1,POP
relative FO for all study areas only include wild ungulates and was calculated such that the 'Undetermined Cervid' category occurences were divided amongst the deer species in rough proportion to their known contribution to scats (ex: if 30% of the occurence of deer in scat was deer A then 30% of the of the occureences of 'Undetermined cervids' would be attributed to deer A). The absolute FO reported in the paper does not reflect these changes however (but could be changed to reflect it),Nowak 2011,Lower Silesian Forest,1700,Wild boar,Sus scrofa,Sus scrofa,Unclear if they were the average of multiple years or a just a single year,,,0.204,,,,84.5,,,124,31,25,22.6,,,0.196,Wild,,,,,,,U,MIX (or just SNOW since it isnt very clear if the general observations actually contributed a change to the census data),MYR+MWI,U,T,,U,NOK11LSF,LSF,4,,1,0,1,POP
# individuals was averaged between summer (12300) and winter (14000) numbers.  goat herd size averaged 114 animals (range 10–800).  The number of livestock guardian dogs per herd averaged 3.8 animals (range 0–15) with a total estimated number of 865 guardian dogs present in the study area.,Petridou 2019,Central Continental Greece,612,Goat,Capra hircus,Capra hircus,2010-2012,13150,,,21.4869281,40,Mean weights reported in literature,46.9,859.4771242,0.2317435841,123,57,46,,,,0.649,Livestock,guarded. graze as scattered loose grouping,,,,,,,,,,,,,PEU19CCG,CCG,3,,UK,UK,UK,POP
# individuals was averaged between summer (23500) and winter (26000) numbers.  Sheep herd size averaged 148 animals (range 10–1200).The number of livestock guardian dogs per herd averaged 3.8 animals (range 0–15) with a total estimated number of 865 guardian dogs present in the study area.,Petridou 2019,Central Continental Greece,612,Sheep,Ovis aries,Ovis aries,2010-2012,24750,,,40.44117647,57,Mean weights reported in literature,34.2,2305.147059,0.6215442229,123,14,11.5,,,,0.112,Livestock,guarded. compact herds when grazing,,,,,,,,,,,,,PEU19CCG,CCG,3,,UK,UK,UK,POP
According to (https://students.aiu.edu/submissions/profiles/resources/onlineBook/n5R3d5_Fundamentals_of_Animal_Science.pdf) average mature Limousin cattle is 805kg (average of both sexes). # individuals was averaged between summer (1750) and winter (1950) numbers. cattle herd size averaged 103 animals (range 5–400). The number of livestock guardian dogs per herd averaged 3.8 animals (range 0–15) with a total estimated number of 865 guardian dogs present in the study area.,Petridou 2019,Central Continental Greece,612,Limousin cattle,Bos taurus,Bos taurus,2010-2012,1850,,,3.022875817,180,Mean weights reported in literature,613,544.1176471,0.146712193,123,6,4.5,,,,0.124,Livestock,unguarded,,,,,,,,,,,,,PEU19CCG,CCG,3,,UK,UK,UK,POP
Juvenile and adult pooled during extraction. denities are means of fall and spring (no season definitions given) 2013-2015. Error rates are Standard Error. 'Absent in winter' density values because the deer to migrate out of the study area,Popp 2018,Great Lakes Region,450,White-tailed deer,Odocoileus virginanus,Odocoileus virginianus,Spring/Summer 2013-2015,594,,,1.32,"adult=73, juvenile= 38.2","adult median masses from literature. juveniles were ""the median between the average birth mass (white-tailed deer, 3.4 kg; Verme 1969; elk, 14.8 kg; Johnson 1951; moose, 16.3 kg; Keech et al. 1999) and median adult mass (white-tailed deer, 73 kg; elk, 340 kg; moose, 385 kg; Eder 2002)""",75,,,247,52,21.05,0.2105263158,,,0.1652,Wild,,,"fawns use the 'hider' anti-predator strategyduring their first weeks, thus no protection if discovered. deer less gregarious than elk in summer months",,,,B-3-3,PELL,MSPA,3,T,MSS,3,POP18GLR,GLR,3,,2,1,1,POP
Juvenile and adult pooled during extraction. denities are means of fall and spring (no season definitions given) 2013-2015. Error rates are Standard Error,Popp 2018,Great Lakes Region,450,Elk,Cervus elaphus,Cervus elaphus,Spring/Summer 2013-2015,527,,,1.17,"adult=340, juvenile=177.4 ","adult median masses from literature. juveniles were ""the median between the average birth mass (white-tailed deer, 3.4 kg; Verme 1969; elk, 14.8 kg; Johnson 1951; moose, 16.3 kg; Keech et al. 1999) and median adult mass (white-tailed deer, 73 kg; elk, 340 kg; moose, 385 kg; Eder 2002)""",240,,,247,34,13.76,0.1376518219,,,0.2981,Wild,,,"fawns use the 'hider' anti-predator strategyduring their first weeks, thus no protection if discovered. small or large groups, change seasonally, large groups predated on more due to increased detection. gregarious, possibly more spatially predictable",,,,B-3-3,PELL,MSPA,3,T,MSS,3,POP18GLR,GLR,3,,2,1,1,POP
Juvenile and adult pooled during extraction. denities are means of fall and spring (no season definitions given) 2013-2015. Error rates are Standard Error,Popp 2018,Great Lakes Region,450,Moose,Alces alces,Alces alces,Spring/Summer 2013-2015,900,,,2,"adult=73, juvenile= 200.65","adult median masses from literature. juveniles were ""the median between the average birth mass (white-tailed deer, 3.4 kg; Verme 1969; elk, 14.8 kg; Johnson 1951; moose, 16.3 kg; Keech et al. 1999) and median adult mass (white-tailed deer, 73 kg; elk, 340 kg; moose, 385 kg; Eder 2002)""",481,,,247,29,11.74,0.1174089069,,,0.2684,Wild,,,calves stay close to their mother as an anti-predator strategy ('the follower' strategy). encounters with large protective mothers/adults are very risky and can lead to death of wolf,,,,B-3-3,PELL,MSPA,3,T,MSS,3,POP18GLR,GLR,3,,2,1,1,POP
,Sidorovich 2003,Lovat River,800,Moose,Alces alces,Alces alces,1990-1992,392,,,0.49,200,No details given,481,,,447,191,42.7,,,,0.325,Wild,,,,0.01666666667,,,P-3-3,MIX,MWI,3,T,MYR,3,SIH03LVR,LVR,3,,2,1,1,POP
poached,Sidorovich 2003,Lovat River,800,Roe deer,Capreolus capreolus,Capreolus capreolus,1990-1992,133,,,0.1666666667,20,No details given,22.4,,,447,29,6.5,,,,0.036,Wild,,,,0.01666666667,,,P-3-3,MIX,MWI,3,T,MYR,3,SIH03LVR,LVR,3,,2,1,1,POP
,Sidorovich 2003,Lovat River,800,Wild boar,Sus scrofa,Sus scrofa,1990-1992,1581,,,1.976666667,80,No details given,84.5,,,447,392,87.7,,,,0.523,Wild,,,,0.01666666667,,,P-3-3,MIX,MWI,3,T,MYR,3,SIH03LVR,LVR,3,,2,1,1,POP
,Sidorovich 2003,Lovat River,800,Moose,Alces alces,Alces alces,1994-1996,61,,,0.07666666667,200,No details given,481,,,363,72,19.8,,,,0.108,Wild,,,,0.02433333333,,,P-3-3,MIX,MWI,3,T,MYR,3,SIH03LVR,LVR,3,,2,1,1,POP
,Sidorovich 2003,Lovat River,800,Roe deer,Capreolus capreolus,Capreolus capreolus,1994-1996,283,,,0.3533333333,20,No details given,22.4,,,363,38,10.5,,,,0.04,Wild,,,,0.02433333333,,,P-3-3,MIX,MWI,3,T,MYR,3,SIH03LVR,LVR,3,,2,1,1,POP
,Sidorovich 2003,Lovat River,800,Wild boar,Sus scrofa,Sus scrofa,1994-1996,328,,,0.41,80,No details given,84.5,,,363,95,26.2,,,,0.173,Wild,,,,0.02433333333,,,P-3-3,MIX,MWI,3,T,MYR,3,SIH03LVR,LVR,3,,2,1,1,POP
,Sidorovich 2003,Lovat River,800,Moose,Alces alces,Alces alces,1999-2000,204,,,0.255,200,No details given,481,,,375,56,14.9,,,,0.097,Wild,,,,0.0125,,,P-2-2,MIX,MWI,2,T,MYR,2,SIH03LVR,LVR,3,,2,1,1,POP
,Sidorovich 2003,Lovat River,800,Roe deer,Capreolus capreolus,Capreolus capreolus,1999-2000,1024,,,1.28,20,No details given,22.4,,,375,76,20.3,,,,0.102,Wild,,,,0.0125,,,P-2-2,MIX,MWI,2,T,MYR,2,SIH03LVR,LVR,3,,2,1,1,POP
,Sidorovich 2003,Lovat River,800,Wild boar,Sus scrofa,Sus scrofa,1999-2000,1008,,,1.26,80,No details given,84.5,,,375,320,85.3,,,,0.601,Wild,,,,0.0125,,,P-2-2,MIX,MWI,2,T,MYR,2,SIH03LVR,LVR,3,,2,1,1,POP
